調査ID,地域名,調査日時,天気,記帳者,対象樹種,面積(㎡),斜面位置,斜面方位,傾斜度,緯度,経度,番号,樹種,樹高(m),枝下高(m),胸高直径(cm),異常区分,被害区分,備考
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,1,スギ,18.5,10.6,42.8,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,2,スギ,15.5,4.4,31.2,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,3,スギ,10.4,7.2,57.9,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,4,スギ,18.3,9.0,59.9,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,5,スギ,10.8,7.1,46.7,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,6,スギ,22.3,13.9,24.3,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,7,スギ,25.7,4.1,20.7,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,8,スギ,17.1,10.2,22.2,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,9,スギ,17.8,3.0,26.6,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,10,スギ,26.0,14.6,41.0,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,11,スギ,16.3,1.3,54.4,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,12,スギ,19.8,8.1,33.5,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,13,スギ,25.2,6.9,34.5,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,14,スギ,26.9,1.9,10.7,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,15,スギ,17.8,9.3,18.4,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,16,スギ,28.9,11.3,33.5,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,17,スギ,15.1,5.3,39.3,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,18,スギ,18.3,9.4,10.9,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,19,スギ,22.8,7.3,48.4,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,20,スギ,26.7,12.7,29.3,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,21,スギ,12.1,7.3,31.4,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,22,スギ,10.9,7.6,49.1,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,23,スギ,20.8,14.5,17.7,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,24,スギ,9.6,4.7,38.4,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,25,スギ,8.7,5.5,24.5,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,26,スギ,25.0,13.2,24.3,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,27,スギ,10.2,6.1,51.6,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,28,スギ,20.7,1.5,35.7,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,29,スギ,25.9,8.8,34.5,なし,,
P001,高松市,2026/5/17 12:30~13:30,晴れ,侍,スギ,400,中部斜面,北東,25,34.364769,134.141581,30,スギ,14.4,3.9,30.4,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,1,スギ,19.1,10.6,33.9,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,2,スギ,20.4,13.7,26.3,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,3,スギ,23.7,4.0,15.5,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,4,スギ,28.2,14.3,0.0,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,5,スギ,27.0,12.1,53.1,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,6,スギ,15.0,25.0,29.0,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,7,スギ,18.5,6.1,39.2,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,8,スギ,17.4,2.6,17.9,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,9,スギ,14.1,6.5,25.0,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,10,スギ,15.0,7.3,32.9,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,11,スギ,18.2,7.5,14.5,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,12,スギ,20.2,1.0,56.5,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,13,スギ,27.7,17.2,28.7,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,14,スギ,17.3,11.4,28.0,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,15,スギ,16.4,10.3,11.8,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,16,スギ,14.4,2.5,50.8,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,17,ブナ,12.2,2.4,25.8,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,18,スギ,22.9,14.2,17.2,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,19,スギ,21.9,14.2,20.5,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,20,スギ,11.4,2.2,17.4,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,21,スギ,21.8,11.7,33.5,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,22,スギ,29.8,8.2,54.3,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,23,スギ,14.3,2.3,46.0,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,24,スギ,16.1,8.4,49.2,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,25,スギ,20.5,6.6,48.2,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,26,スギ,23.0,3.7,23.8,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,27,スギ,25.8,7.9,20.6,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,28,スギ,15.5,3.8,35.6,なし,,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,29,スギ,15.0,2.3,45.3,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,,待,スギ,400,上部斜面,,30,34.36303,134.144257,30,スギ,11.4,1.0,26.7,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,1,スギ,18.2,10.3,54.3,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,2,スギ,29.9,9.4,19.5,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,3,スギ,OCR_UNREADABLE,5.0,26.3,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,4,スギ,22.9,10.3,23.1,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,5,スギ,15.2,9.9,48.7,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,6,スギ,20.6,2.8,20.4,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,7,スギ,27.4,10.9,38.4,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,8,スギ,20.7,10.2,52.6,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,9,スギ,24.2,2.3,39.6,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,10,スギ,10.6,6.3,42.6,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,11,,11.3,5.3,16.9,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,12,スギ,27.2,11.8,22.1,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,13,スギ,11.3,2.8,,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,14,スギ,24.5,5.6,54.4,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,15,スギ,20.6,13.4,13.9,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,16,スギ,29.4,8.5,55.6,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,17,スギ,15.1,5.9,14.0,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,18,スギ,17.4,9.2,21.7,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,19,ヒノキ,28.2,10.4,59.7,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,20,ヒノキ,26.2,4.4,25.9,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,21,ヒノキ,11.5,1.4,35.2,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,22,スギ,19.7,2.6,47.9,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,23,スギ,14.3,6.3,49.4,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,24,スギ,14.2,9.9,9.5,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,25,スギ,27.3,8.4,58.1,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,26,スギ,15.9,10.0,47.3,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,27,スギ,17.2,6.1,58.4,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,28,スギ,27.3,1.6,51.3,なし,,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,29,スギ,23.8,14.4,9.3,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,侍,スギ,200,下部斜面,東,500,,OCR_UNREADABLE,30,スギ,13.4,1.6,53.9,なし,なし,
